ParticipantCode,AU01b,AU02b,AU04b,AU05b,AU06b,AU07b,AU09b,AU10b,AU12b,AU14b,AU15b,AU17b,AU20b,AU23b,AU25b,AU26b,AU45b,AU01f,AU02f,AU04f,AU05f,AU06f,AU07f,AU09f,AU10f,AU12f,AU14f,AU15f,AU17f,AU20f,AU23f,AU25f,AU26f,AU45f
1a,0.30225656,0.13033403,0.17801999,0.05701125,0.60124198,0.28599584,0.06562432,2.04402666,0.88793003,0.76991837,0.17067972,0.46674386,0.17950604,0.16518867,0.50414077,0.48416410,0.34156518,0.27867887,0.11297300,0.11760783,0.05573577,0.96380482,0.56199982,0.08379757,2.02355201,1.48387187,1.33749819,0.21774194,0.82135738,0.15070587,0.25479522,0.71567778,0.72205237,0.38503443
1b,0.16500442,0.13969036,1.24282457,0.08589657,0.05729631,0.11468170,0.07843590,0.75106005,0.33902937,0.25173235,0.16627620,0.82076561,0.15859072,0.17715599,0.31134601,0.34834541,0.31253473,0.18508380,0.14677985,1.02841742,0.09843401,0.32619763,0.34112779,0.09253928,1.12120199,0.98109899,0.80728003,0.23960894,0.84834061,0.12567039,0.23146648,0.59805429,0.36743366,0.37138879
2a,0.17044972,0.08702631,0.17011014,0.06903223,0.28135019,0.24528860,0.06108097,0.59964817,0.83073220,1.44762084,0.15924128,0.40529676,0.14213645,0.24705486,0.28279217,0.40239955,0.22662248,0.17079877,0.09209111,0.14242526,0.06436660,0.80007432,0.53133602,0.06577069,0.93022182,1.48131162,1.77079197,0.17661655,0.48464061,0.12794123,0.22982981,0.39514608,0.51130198,0.25782890
2b,0.12303940,0.07725507,0.32875766,0.04616076,0.09579387,0.00394190,0.03414564,0.18610028,0.62660804,1.11898448,0.12002228,0.33138400,0.11996976,0.06537604,0.24119698,0.39348826,0.25741982,0.13957506,0.09519127,0.22130503,0.07454394,0.20516375,0.00602400,0.04689913,0.24372790,0.96655224,1.34529141,0.12657795,0.29545336,0.09948755,0.08043080,0.33656893,0.38906487,0.22798268
3a,0.34404581,0.21133651,0.57991612,0.17097274,0.59342717,0.58127037,0.05175593,1.31056622,0.36070576,1.72688982,0.14787385,0.32849734,0.11990966,0.10740442,0.67827392,0.44030731,0.27272060,0.21523264,0.10586426,0.66424794,0.05415692,1.37469125,0.95611926,0.10272107,1.80005257,0.99327109,1.89971283,0.14552138,0.43491879,0.11382974,0.19927815,0.67073441,0.39000628,0.25951589
3b,0.35639203,0.24724319,0.52880713,0.09631971,0.54626310,0.26684277,0.09099581,0.45835325,0.56160692,0.93096436,0.16127673,0.41291090,0.12942348,0.14997170,0.42404927,0.44016352,0.30832180,0.47260258,0.24820067,0.79046904,0.08594606,0.71084819,0.39806220,0.15570030,0.92022619,0.89934174,1.13618167,0.17459548,0.58807960,0.15521749,0.20223430,0.51436639,0.37489053,0.36387125
4a,0.37600278,0.17640928,1.75695040,0.11688092,0.24004430,0.04798402,0.05789803,1.36777469,0.62551811,0.68971250,0.21384001,0.56090506,0.18286459,0.24998437,0.82645531,0.57921914,0.26614002,0.32279243,0.18307591,1.53616500,0.10714824,0.66933792,0.15712658,0.05571765,1.42732906,1.31029855,0.63625918,0.26976455,0.60597947,0.19778678,0.15750424,0.92406950,0.76059804,0.25312394
4b,0.34874166,0.11439694,0.57524519,0.07066544,0.58960248,0.44843699,0.06894477,1.03561370,0.52167231,1.19766418,0.28530516,0.46856563,0.14135796,0.19679853,0.57581197,0.32569107,0.36114228,0.35204487,0.12559345,0.56048204,0.08721919,1.09174322,0.69326133,0.09328634,1.19906927,0.98764211,1.31363044,0.39653024,0.50889344,0.19668107,0.21681219,0.81771563,0.34544338,0.35756404
5a,0.18964989,0.08735829,0.25951349,0.08360715,0.03645347,0.00435283,0.07592149,0.06730676,0.31650349,0.38864808,0.12874659,0.32887390,0.12314035,0.07803577,0.37133525,0.36379357,0.19019855,0.22113604,0.07906089,0.36823163,0.07438810,0.11967915,0.02446313,0.08037645,0.32699578,0.74740237,0.72701387,0.11473441,0.30960815,0.09533592,0.12969924,0.45079443,0.35585840,0.20886061
5b,0.24288153,0.11143825,1.43801539,0.05284722,0.18473728,0.68944361,0.08066432,0.86722641,0.37485023,0.99456409,0.11535559,0.36832999,0.10880522,0.15111780,0.50421854,0.36821452,0.18973059,0.17271324,0.08061204,1.33787263,0.05855916,0.62196161,0.69612711,0.12393061,1.11020267,0.91409905,1.39408496,0.15183209,0.43936112,0.10410644,0.20738809,0.76535535,0.40363130,0.20138380
6a,0.11463272,0.05725322,0.68373968,0.03723093,0.57750908,0.48718389,0.04370007,1.38515352,0.61686283,0.68081132,0.18487207,0.71869099,0.10687768,0.10938263,0.33122235,0.59357626,0.15271294,0.14386102,0.07333745,0.72897956,0.04894649,0.94149380,0.88048492,0.04338606,1.43373909,1.23120492,1.56385624,0.13047894,0.90667171,0.10171534,0.11207953,0.32248755,0.31644938,0.12467307
6b,0.17545592,0.10828593,0.84455353,0.04495984,0.00346499,0.00062175,0.04184541,1.69504205,0.10502693,0.39131437,0.12780497,0.38131532,0.11085798,0.10878201,0.43580837,0.26519512,0.21749031,0.18744072,0.12990436,0.81456726,0.05020471,0.00488223,0.00191314,0.05068052,1.68982216,0.14448862,0.42025569,0.14298135,0.34596388,0.10829197,0.10939614,0.54066235,0.27205027,0.25619546
7a,0.20656077,0.12892004,0.06324059,0.07513661,0.10106561,0.04150663,0.09450484,0.34948153,0.93700825,0.64018143,0.12080746,0.37943205,0.13930369,0.18438580,0.43490857,0.41114450,0.31336608,0.19032339,0.09496251,0.02766979,0.07355688,0.29566468,0.03327865,0.07047934,0.55103622,1.35551981,0.78364977,0.12903323,0.36517938,0.12580017,0.17577205,0.44227652,0.46492544,0.27935961
7b,0.17343473,0.10167118,1.05080911,0.07887931,0.08244828,0.01012562,0.06980049,1.26886700,0.16044828,1.84499507,0.12103695,0.31300000,0.09444951,0.08522167,0.34619704,0.25559975,0.18267980,0.27273326,0.13586572,0.70694223,0.06069038,0.95016753,0.10492088,0.07190826,2.12439423,1.02394649,2.51456682,0.19632105,0.40811453,0.08657763,0.13828291,0.62244039,0.31259780,0.26261974
8a,0.18349181,0.11721689,0.00142949,0.06419646,0.00425942,0.01984422,0.09325531,0.01003874,0.11136653,0.08236500,0.19740738,0.38001695,0.09737671,0.14656631,0.33426346,0.34736540,0.14794495,0.30399243,0.22003838,0.01477788,0.09749750,0.07145839,0.05048578,0.09276536,0.07962357,0.43504810,0.10348720,0.29991851,0.36448557,0.07092529,0.09183219,0.56972346,0.34173598,0.13332527
