,AU01b,AU02b,AU04b,AU05b,AU06b,AU07b,AU09b,AU10b,AU12b,AU14b,AU15b,AU17b,AU20b,AS23b,AU25b,AU26b,AU45b,AU01f,AU02f,AU04f,AU05f,AU06f,AU07f,AU09f,AU10f,AU12f,AU14f,AU15f,AU17f,AU20f,AS23f,AU25f,AU26f,AU45f
1a,4.10,3.66,2.60,1.34,2.91,2.80,2.16,3.52,3.63,3.28,2.72,3.20,2.66,1.90,5.00,3.53,4.41,4.72,3.66,2.32,1.30,3.26,3.34,0.93,3.24,4.05,3.57,2.25,2.78,1.91,1.99,4.93,4.30,4.50
1b,3.96,3.49,4.48,3.38,2.78,3.13,2.77,3.28,2.71,3.47,4.13,4.46,3.10,3.99,4.17,2.77,4.03,2.20,2.48,3.16,3.71,3.79,4.05,2.99,4.55,3.80,3.48,4.24,4.39,2.79,3.64,4.05,3.17,3.66
2a,3.60,3.19,2.14,3.19,1.95,3.32,2.86,2.55,2.75,4.25,3.55,3.65,2.22,4.82,2.92,4.86,3.38,4.49,3.68,2.03,2.69,3.62,2.95,2.24,3.09,5.00,4.56,3.78,2.86,2.09,5.00,5.00,3.26,3.68
2b,3.41,2.63,2.58,1.88,1.97,0.78,0.73,2.64,3.16,2.93,1.88,2.41,1.39,1.03,3.69,5.00,3.27,3.44,3.40,3.01,3.65,2.72,1.74,1.98,2.55,4.04,3.53,3.38,3.20,2.49,3.32,4.49,5.00,3.18
3a,5.00,4.97,4.45,4.11,2.90,4.23,3.07,2.83,3.27,3.34,1.52,2.20,1.99,4.74,5.00,4.65,3.41,3.81,2.96,3.97,2.41,3.74,4.65,2.39,4.02,3.92,4.92,2.30,2.60,1.75,3.39,4.49,2.93,3.72
3b,4.40,4.79,3.54,2.80,2.86,3.30,3.21,2.32,2.88,3.94,3.79,2.07,2.10,2.22,2.57,3.35,3.82,5.00,4.92,3.46,2.55,3.31,4.23,2.10,3.40,3.70,4.20,5.00,3.07,3.76,4.15,4.01,3.52,4.17
4a,4.89,3.79,3.62,3.86,2.37,3.90,1.51,3.26,3.24,3.02,3.23,4.53,2.89,3.23,4.30,3.46,2.85,5.00,4.43,3.17,3.67,2.85,2.29,1.74,3.16,4.01,2.90,3.65,3.84,2.23,2.36,3.19,3.74,3.06
4b,5.00,4.10,1.92,2.13,3.89,2.40,2.26,3.29,3.85,3.18,5.00,2.70,3.06,2.47,5.00,2.31,3.51,5.00,4.09,3.03,2.39,4.15,2.81,2.47,3.32,4.01,3.83,5.00,3.16,4.57,1.84,5.00,3.41,3.61
5a,4.50,2.94,2.23,1.65,1.41,1.69,1.34,1.60,2.59,2.63,4.64,2.55,2.34,2.58,4.41,2.69,3.15,4.18,3.51,2.06,2.19,1.81,2.55,3.60,3.04,3.64,3.85,3.30,2.93,2.39,5.00,4.93,3.22,2.95
5b,3.78,3.13,4.48,1.55,3.40,3.81,2.23,2.60,3.38,4.97,5.00,2.08,1.46,2.45,3.95,3.35,3.26,3.09,2.45,4.21,2.83,3.18,4.00,3.81,3.44,3.84,4.16,5.00,3.76,2.40,2.32,4.94,3.53,3.31
6a,2.46,2.33,2.95,1.25,3.46,2.15,1.14,3.57,3.36,3.62,5.00,3.55,4.40,2.01,4.63,3.03,3.94,4.44,2.31,2.28,2.09,3.83,2.59,1.57,3.56,3.71,3.38,2.97,3.84,1.90,4.50,4.45,3.15,3.10
6b,2.99,3.02,3.05,0.94,0.89,0.57,0.94,2.65,1.79,1.91,1.64,2.66,1.27,1.50,3.54,2.40,2.98,3.19,2.50,3.21,1.99,1.10,1.70,1.16,2.75,1.66,1.92,2.32,3.56,1.65,1.99,3.90,2.99,4.08
