ParticipantCode,AU01b,AU02b,AU04b,AU05b,AU06b,AU07b,AU09b,AU10b,AU12b,AU14b,AU15b,AU17b,AU20b,AS23b,AU25b,AU26b,AU45b,AU01f,AU02f,AU04f,AU05f,AU06f,AU07f,AU09f,AU10f,AU12f,AU14f,AU15f,AU17f,AU20f,AU23f,AU25f,AU26f,AU45f
1a,0.56207616,0.37862932,0.21330296,0.14177839,0.56964098,0.40346725,0.13963764,0.40663777,0.63335137,0.59119195,0.27162378,0.41100435,0.32920658,0.33796053,0.76282147,0.57455279,0.74352215,0.4967892687,0.2967735511,0.2159246136,0.1362059947,0.7474220146,0.5954354058,0.1633565415,0.4763265416,0.8176365231,0.6898335086,0.3321175527,0.6610165495,0.2739790541,0.4451231622,0.9633464099,0.7353511756,0.754320135
1b,0.29605769,0.31317138,0.34815316,0.26569935,0.25256464,0.29878946,0.22861817,0.39886141,0.40501792,0.42269820,0.30786309,0.73625389,0.32529251,0.36493035,0.30168267,0.33197802,0.60658898,0.3079835036,0.3208020978,0.3375429239,0.2965122895,0.5488645133,0.5260292299,0.2240624158,0.5692414296,0.6220791839,0.6235093823,0.4321494245,0.8699355101,0.2583628832,0.4463965196,0.7472274684,0.379533996,0.6489432167
2a,0.34990765,0.25155887,0.23241299,0.22111717,0.25107514,0.36609364,0.15081284,0.33490877,0.30515602,0.49422798,0.31960007,0.45759773,0.27451764,0.49311165,0.32658369,0.51161197,0.44520176,0.3728559307,0.2577742675,0.2010651626,0.1815424918,0.5824095706,0.4940404762,0.14575424,0.4561925387,0.7284399205,0.6888818357,0.3258764867,0.4723457736,0.2510231178,0.4556912377,0.6414154509,0.5900995566,0.4572230183
2b,0.26989920,0.23525120,0.20019322,0.12614058,0.26282734,0.03313823,0.06331684,0.32115652,0.48303884,0.54007119,0.19226920,0.28586136,0.21594384,0.12889582,0.37189316,0.52338346,0.55730799,0.328991166,0.3053387601,0.2690079204,0.2283049222,0.4398460591,0.04838248686,0.1465829875,0.3782011309,0.624016172,0.6107186642,0.2179859998,0.2429042117,0.182295699,0.1860876634,0.5613788711,0.5349457168,0.4827534327
3a,0.77851452,0.65400466,0.61234427,0.56201971,0.53092502,0.64545545,0.12729109,0.40779782,0.56561982,0.48242729,0.23889054,0.29233157,0.23342906,0.23862599,0.93350510,0.52749572,0.52009381,0.3962099492,0.2898373498,0.3636798198,0.147074358,0.874282883,1.016139997,0.2491709155,0.4304868177,0.9801636699,0.6006568614,0.2155570166,0.3417991499,0.2025289674,0.4287384741,1.001701328,0.4136560348,0.4770559228
3b,0.72943963,0.64532240,0.43292679,0.26316640,0.45583973,0.35185396,0.27204007,0.38857996,0.48234411,0.63265695,0.28115159,0.34421700,0.24230915,0.30061817,0.46038324,0.51805935,0.60713112,0.7967653907,0.6297253495,0.6636849703,0.2414668411,0.6623535694,0.5586711133,0.340699836,0.4831579231,0.7370442469,0.6767313033,0.2899789107,0.4826074858,0.2862531037,0.4126811661,0.6514473183,0.4485915095,0.6250118465
4a,0.71687505,0.46520876,0.42730599,0.39419834,0.43353746,0.21609723,0.12715486,0.50487249,0.70635601,0.55783921,0.36206128,0.69046740,0.39299693,0.49574424,0.87821725,0.61171212,0.49324677,0.680215291,0.4928545411,0.3972048471,0.3402157963,0.6393475916,0.3498894498,0.114221314,0.5900471844,1.029867856,0.5236259543,0.4848264665,0.6046033625,0.3626871639,0.2887381749,0.860142446,0.6849960865,0.4843139438
4b,0.62615055,0.35160290,0.31676877,0.17741181,0.61493056,0.48555837,0.17490947,0.56939732,0.65290910,0.71063353,0.64950548,0.47184794,0.30154541,0.38048274,0.85849277,0.36242561,0.59264217,0.6031660844,0.3648234605,0.3477262866,0.2385498192,0.7243525381,0.6320807298,0.2347936555,0.5992069199,0.7405490304,0.9052588261,0.8146757968,0.4911867737,0.4199840789,0.3820533711,1.240490026,0.385768711,0.5474413731
5a,0.44149300,0.26693514,0.24743729,0.22560439,0.14624739,0.06093554,0.15997629,0.21661347,0.36056295,0.36987503,0.26749817,0.28732913,0.23990749,0.16388851,0.63085006,0.41298360,0.37685479,0.3847151454,0.2581365162,0.3235752962,0.224911206,0.276399048,0.1460848288,0.2155903192,0.3295763383,0.5531650179,0.3634571923,0.2137899302,0.2726082791,0.1915226649,0.2938684939,0.709105492,0.4115137878,0.402280853
5b,0.51523359,0.32734727,0.48735105,0.13766026,0.43807606,0.49861158,0.19701613,0.35896643,0.53133467,0.53465006,0.19424648,0.32323708,0.19617810,0.31096962,0.64126522,0.42118694,0.35905303,0.3116988742,0.1958999913,0.4376180924,0.1686808203,0.6951045193,0.5169265649,0.3215098487,0.4482453178,0.8169913799,0.6613211532,0.3000471086,0.414999209,0.1900004993,0.3904016298,1.002877312,0.4410956318,0.373806671
6a,0.21805967,0.14668987,0.26784699,0.09951438,0.43443817,0.37958777,0.09563871,0.41655704,0.61411164,0.66562953,0.28698215,0.56852918,0.22044857,0.22246861,0.48408913,0.62824544,0.31543545,0.2454795216,0.1656557683,0.2094112006,0.1489111935,0.4083005267,0.328322246,0.09332765667,0.3583460441,0.5866347107,0.522946909,0.2052814223,0.6657831131,0.1859938127,0.2513476721,0.4658334606,0.3420635605,0.2569570205
